s,p,o
country:CAN,Gross national expenditure (current US$),1987690000000.0
country:CHE,Industry (including construction) value added (% of GDP),25.6423
country:CAF,Industry (including construction) value added (% of GDP),20.1607
country:CAN,GDP (current US$),1990760000000.0
country:CAF,GDP (current US$),2516500000.0
country:CHE,GDP (current US$),812867000000.0
country:CAF,GDP per capita (current LCU),283634.0
country:CAN,GDP per capita (current LCU),65266.0
country:CHE,GDP per capita (current LCU),85405.7
country:CAN,GNI per capita (current LCU),64771.8
country:CHE,GNI per capita (current LCU),83787.4
country:CAF,GNI per capita (current LCU),302987.0
country:CIV,Gross national expenditure (current US$),69296800000.0
country:CHL,Gross national expenditure (current US$),319121000000.0
country:CMR,Gross national expenditure (current US$),46078400000.0
country:CHL,Industry (including construction) value added (% of GDP),31.7486
country:CHN,Industry (including construction) value added (% of GDP),39.4261
country:CHL,GDP (current US$),317059000000.0
country:CIV,GDP (current US$),69764800000.0
country:CHN,GDP (current US$),17734100000000.0
country:CHN,GDP per capita (current LCU),80975.8
country:CIV,GDP per capita (current LCU),1430000.0
country:CHL,GDP per capita (current LCU),12524900.0
country:CHN,GNI per capita (current LCU),80257.0
country:CIV,GNI per capita (current LCU),1386710.0
country:CHL,GNI per capita (current LCU),11797400.0
country:COD,Gross national expenditure (current US$),53542200000.0
country:COL,Gross national expenditure (current US$),339329000000.0
country:CMR,Industry (including construction) value added (% of GDP),24.0463
country:COL,Industry (including construction) value added (% of GDP),25.0558
country:COD,Industry (including construction) value added (% of GDP),45.0883
country:COD,GDP (current US$),53958600000.0
country:COG,GDP (current US$),12524000000.0
country:CMR,GDP (current US$),45238600000.0
country:COL,GDP (current US$),314322000000.0
country:COG,GDP per capita (current LCU),1227660.0
country:CMR,GDP per capita (current LCU),921465.0
country:COL,GDP per capita (current LCU),22952800.0
country:COD,GDP per capita (current LCU),1162020.0
country:COG,GNI per capita (current LCU),968886.0
country:CMR,GNI per capita (current LCU),903870.0
country:COL,GNI per capita (current LCU),22364700.0
country:COD,GNI per capita (current LCU),1119560.0
country:CPV,Gross national expenditure (current US$),2582730000.0
country:COM,Gross national expenditure (current US$),1604740000.0
country:CRI,Gross national expenditure (current US$),63217300000.0
country:CPV,Industry (including construction) value added (% of GDP),25.1355
country:COM,Industry (including construction) value added (% of GDP),8.14472
country:CRI,Industry (including construction) value added (% of GDP),20.5483
country:CPV,GDP (current US$),1936170000.0
country:COM,GDP (current US$),1327960000.0
country:CRI,GDP (current US$),64282400000.0
country:CRI,GDP per capita (current LCU),7765160.0
country:COM,GDP per capita (current LCU),621724.0
country:CPV,GDP per capita (current LCU),321207.0
country:CPV,GNI per capita (current LCU),314948.0
country:COM,GNI per capita (current LCU),617533.0
country:CRI,GNI per capita (current LCU),7238920.0
country:CYP,Gross national expenditure (current US$),27423300000.0
country:CYP,Industry (including construction) value added (% of GDP),12.8339
country:CYP,GDP (current US$),27719300000.0
country:CYP,GDP per capita (current LCU),26040.1
country:CYP,GNI per capita (current LCU),24114.6
country:DEU,Gross national expenditure (current US$),3989480000000.0
country:CZE,Gross national expenditure (current US$),273732000000.0
country:DMA,Industry (including construction) value added (% of GDP),11.8194
country:DEU,Industry (including construction) value added (% of GDP),26.6103
country:CZE,Industry (including construction) value added (% of GDP),31.2065
country:DMA,GDP (current US$),545618000.0
country:DEU,GDP (current US$),4223120000000.0
country:CZE,GDP (current US$),282341000000.0
country:DJI,GDP (current US$),3371100000.0
country:DJI,GDP per capita (current LCU),597802.0
country:DMA,GDP per capita (current LCU),20411.9
country:CZE,GDP per capita (current LCU),571838.0
country:DEU,GDP per capita (current LCU),42952.6
country:DJI,GNI per capita (current LCU),579183.0
country:DMA,GNI per capita (current LCU),20473.4
country:CZE,GNI per capita (current LCU),549852.0
country:DEU,GNI per capita (current LCU),44250.6
country:DOM,Gross national expenditure (current US$),102942000000.0
country:DNK,Gross national expenditure (current US$),370472000000.0
country:DZA,Gross national expenditure (current US$),168319000000.0
country:DNK,Industry (including construction) value added (% of GDP),20.2078
country:DOM,Industry (including construction) value added (% of GDP),32.6621
country:DZA,Industry (including construction) value added (% of GDP),39.6767
country:DOM,GDP (current US$),94243500000.0
country:DNK,GDP (current US$),397104000000.0
country:DZA,GDP (current US$),167983000000.0
country:DZA,GDP per capita (current LCU),508522.0
country:DNK,GDP per capita (current LCU),426285.0
country:DOM,GDP per capita (current LCU),492318.0
country:DOM,GNI per capita (current LCU),467734.0
country:DNK,GNI per capita (current LCU),439935.0
country:DZA,GNI per capita (current LCU),496241.0
country:EGY,Gross national expenditure (current US$),441236000000.0
country:ECU,Gross national expenditure (current US$),105114000000.0
country:ECU,Industry (including construction) value added (% of GDP),31.1735
country:EGY,Industry (including construction) value added (% of GDP),30.7913
country:EGY,GDP (current US$),404143000000.0
country:ECU,GDP (current US$),106166000000.0
country:EGY,GDP per capita (current LCU),60820.1
country:ECU,GDP per capita (current LCU),5934.88
country:ECU,GNI per capita (current LCU),5843.4
country:EGY,GNI per capita (current LCU),58954.1
country:ETH,Gross national expenditure (current US$),121363000000.0
country:EST,Gross national expenditure (current US$),35971500000.0
country:ESP,Gross national expenditure (current US$),1403750000000.0
country:ETH,Industry (including construction) value added (% of GDP),21.8523
country:ESP,Industry (including construction) value added (% of GDP),20.5029
country:EST,Industry (including construction) value added (% of GDP),22.7968
country:EST,GDP (current US$),36262900000.0
country:ESP,GDP (current US$),1425280000000.0
country:ETH,GDP (current US$),111271000000.0
country:EST,GDP per capita (current LCU),23065.6
country:ETH,GDP per capita (current LCU),36830.0
country:ESP,GDP per capita (current LCU),25462.7
country:EST,GNI per capita (current LCU),22726.9
country:ESP,GNI per capita (current LCU),25593.2
country:ETH,GNI per capita (current LCU),36645.7
country:FJI,Gross national expenditure (current US$),4559260000.0
country:FRA,Gross national expenditure (current US$),2998320000000.0
country:FIN,Gross national expenditure (current US$),296045000000.0
country:FRA,Industry (including construction) value added (% of GDP),16.7806
country:FJI,Industry (including construction) value added (% of GDP),18.103
country:FIN,Industry (including construction) value added (% of GDP),24.7729
country:FJI,GDP (current US$),4592120000.0
